Производитель;Тренд;Нарушения экспертно;Тяжесть нарушения экспертно;Изъятие из обращения;Приостановлена реализация;Разрешен;Скорость реагирования;Тяжесть нарушения;Наименование товара;place_total_fail;lat;long;place_id;google_name;google_rating;site;reviews;world_rank;country_rank;link_numbers;place_was_nullated;place_no_end;place_time;place_size;Юридическое лицо, на имя которого выдано регистрационное удостоверение;place_fail_rel_size;Иностранцы;Россия;контрафактное ЛС;недоброкачественное ЛС;незарегистрированное ЛС;оригинальное ЛС;сомнительное ЛС;фальсифицированное ЛС;Партия;Брак поставщика (подтвержден);Брак производителя (изъятие без уничтожения);Брак производителя (партия);Брак производителя (территория);Брак производителя Россия;Изменение;Изъятие;Изъятие незарегистрированного ЛС;Изъятие по неподтвержденной декларации;Контрафакт;Незаконный ввоз;О переводе на предварительный контроль;Отзыв;Отзыв деклараций о соответствии;Отзыв производителем;Отзыв производителем (Ф/С);Отзыв производителем партии;Ошибка репортера;Прекращение обращения;Приостановление;Приостановление реализации;Разрешение (партия);Разрешение (серия);Разрешение реализации;Фальсификация;Фальсификация (изъятие по признакам);Фальсификация полное изъятие;Фальсификация приостановление;place_total_letters;Итоговый рейтинг
Санофи-Авентис Франс;0.0;;0.0;0.0;1.0;0.0;;0.2;1;1.0;55.7673488;37.60121229999999;ChIJAQDMt-NKtUYRM4Emp4K--ZI;Санофи-авентис;;http://www.sanofi.ru/;[];1660026.0;169075.0;247.0;0.8412285295349812;0.483942535958665;1738.4568452380954;270.0;Санофи-Авентис груп;0.003703703703703704;1.0;0.0;0.0;0.39436619718309857;0.0;0.4694835680751174;0.13615023474178406;0.0;0.004694835680751174;0.0;0.004694835680751174;0.0;0.19718309859154928;0.04225352112676056;0.056338028169014086;0.004694835680751174;0.0;0.0;0.004694835680751174;0.0;0.0;0.4694835680751174;0.018779342723004692;0.009389671361502348;0.0;0.0;0.0;0.0;0.03755868544600939;0.028169014084507043;0.0;0.03755868544600939;0.0;0.004694835680751174;0.023474178403755867;0.004694835680751174;0.056338028169014086;213.0;0.23456790123456786
Лек С+ ООО;0.0;;0.0;1.0;0.0;0.0;;1.0;1;1.0;55.78876289999999;37.7813829;ChIJAYNGsG5MtUYRKIQegK7V9Q4;Лек С+;;http://www.leksplus.ru/;[];;;;0.9565217391304348;0.8467656415694591;1826.203703703704;146.0;"ООО ""Лек С+""";0.00684931506849315;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5454545454545454;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909093;0.0;0.09090909090909093;0.0;0.0;0.0;0.0;0.09090909090909093;0.09090909090909093;0.0;0.0;0.0;0.0;0.09090909090909093;0.0;0.0;11.0;0.502283105022831
Б.Браун Мельзунген АГ;0.0;;0.0;0.5;0.5;0.5;23.0;0.6;2;2.0;55.69696399999999;37.62131610000001;ChIJAyCa5VBLtUYRv8m3Jetvf-4;Б.браун Медикал;;http://www.bbraun.ru/;[];1217912.0;132897.0;126.0;1.0;0.8896103896103896;1826.235294117647;80.0;Б.Браун Мельзунген АГ;0.025;1.0;0.0;0.0;0.9885057471264368;0.0;0.011494252873563218;0.0;0.0;0.0;0.0;0.0;0.0;0.011494252873563218;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02298850574712644;0.0;0.9310344827586208;0.0;0.0;0.0;0.0;0.0;0.02298850574712644;0.0;0.0;0.011494252873563218;0.0;0.0;0.0;0.0;87.0;0.375
Бакстер АГ;-1.0;;0.0;1.0;0.0;0.0;;1.0;1;3.0;55.77130500000001;37.53832200000001;ChIJB4F09IJJtUYRGlmJbvZ62vE;Baxter AG;;http://www.baxter.com/;[];146106.0;44206.0;1404.0;0.96875;0.875;1826.0;32.0;Бакстер АГ;0.03125;1.0;0.0;0.0;0.625;0.025;0.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.85;0.0;0.0;0.0;0.0;0.0;0.05;0.025;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;0.5104166666666666
Московский эндокринный завод ФГУП;0.0;;0.0;0.0;1.0;1.0;38.0;0.3;2;2.0;55.7264168;37.7174996;ChIJBW-HVze1SkERmWo9580bjhU;Московский эндокринный завод;0.0;http://endopharm.ru/;[['???', 5, 1475556130], ['', 5, 1458725125], ['', 5, 1453373197], ['', 5, 1445270151], ['', 5, 1327060348]];4436069.0;385726.0;61.0;1.0;0.8298914516019781;1682.2357142857145;229.0;"Федеральное государственное унитарное предприятие ""Московский эндокринный завод""";0.008733624454148471;0.05263157894736842;0.9473684210526316;0.0;0.9298245614035088;0.0;0.07017543859649122;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07017543859649122;0.0;0.3157894736842105;0.0;0.0;0.0;0.0;0.03508771929824561;0.3333333333333333;0.0;0.017543859649122806;0.2280701754385965;0.0;0.0;0.0;0.0;57.0;0.10291120815138283
Канонфарма Продакшн ЗАО;0.0;;0.0;0.25;0.75;0.0;;0.4;1;4.0;55.9302625;38.0432279;ChIJC9qlt9MstUYRmvj5LMf-JFY;Канонфарма продакшн;0.8;http://www.canonpharma.ru/;[['Тут производство автобусы не ходят', 1, 1520681933]];2074264.0;152174.0;70.0;1.0;0.7918250659406109;1799.3062419062421;282.0;Фармацевтическая компания Цисин;0.0035460992907801418;0.0;1.0;0.0;0.9230769230769232;0.0;0.07692307692307693;0.0;0.0;0.038461538461538464;0.0;0.07692307692307693;0.0;0.038461538461538464;0.0;0.0;0.038461538461538464;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.07692307692307693;0.0;0.0;0.0;0.038461538461538464;0.1153846153846154;0.38461538461538464;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;26.0;0.40118203309692674
АЛСИ Фарма ЗАО;0.0;;0.0;0.0;1.0;0.0;;1.0;1;1.0;55.788112;37.618233;ChIJF-Pu0AhKtUYRMRDoV0f0WPI;Алси фарма;0.4;http://www.alsi.ru/;[['Хорошо бы таблетки делать продолговатыми-тяжело глотать.', 3, 1410376834]];6912754.0;565469.0;24.0;1.0;0.5166666666666666;1826.4545454545453;45.0;"Закрытое акционерное общество ""АЛСИ Фарма""";0.022222222222222223;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012048192771084338;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8313253012048193;0.0;0.012048192771084338;0.0;0.0;0.0;0.0;0.012048192771084338;0.12048192771084335;0.0;0.012048192771084338;0.0;0.0;0.0;0.0;0.0;83.0;0.47407407407407404
Фармзащита НПЦ ФГУП(г.Химки);1.0;Маркировка.;4.0;1.0;0.0;0.0;;1.0;1;2.0;55.922027;37.4061369;ChIJFfC6-Ck5tUYR8_cDq_aEqeI;"ФГУП НПЦ ""Фармзащита"" ФМБА России";0.0;http://atompharm.ru/;"[[""Komme's workplace"", 5, 1508671711]]";5639371.0;384263.0;46.0;1.0;0.697278911564626;1826.04;91.0;"Федеральное государственное унитарное предприятие Научно-производственный центр ""Фармзащита"" Федерального медико-биологического агентства (ФГУП НПЦ ""Фармзащита"" ФМБА России)";0.01098901098901099;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.33699633699633696
Лаборатории Галдерма;0.0;;0.0;0.0;1.0;0.0;;0.8;2;3.0;55.70989400000001;37.656322;ChIJGTxC5wxLtUYRe5GfEKUONRk;Медсервис Диагностика;;http://www.medd.ru/;[];16773609.0;;9.0;0.9;0.7;1826.0;10.0;Лаборатории Галдерма;0.2;1.0;0.0;0.0;0.9333333333333332;0.0;0.06666666666666668;0.0;0.0;0.0;0.0;0.06666666666666668;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.26666666666666666;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.06666666666666668;0.0;0.0;0.2;0.0;0.0;0.0;0.0;15.0;0.5
Самарская областная станция переливания крови;0.0;;0.0;1.0;0.0;0.0;;0.4;2;4.0;55.761979;37.799353;ChIJHTRqI8LKSkERuw4Luplp0K0;Московская областная станция переливания крови;0.1;http://mospk.life/;[['Несколько раз посещала эту станцию переливания крови. Хочется поблагодарить и выразить уважение этому замечательному коллективу! Всех!\nНачиная от работников гардероба до заведующей! Особенно мед персонал при заборе крови. Очень квалифицировано, внимательно ко всем пациетам, аккуратно работают. Спасибо большое Вам! В регистратуре вежливо и обходительно встречают, что очень приятно! Хочется приходить к ним снова и снова! СПАСИБО БОЛЬШОЕ ВАМ ЗА ЧУТКОЕ ВНИМАНИЕ К ДОНАРАМ!', 5, 1510322474], ['Сдаю кровь(плазму ,ежели быть точным) тут уже лет пять или семь , все отлично, персонал доброжелательный, единственное в помещении ожидания и непосредственно где сдаете кровь стоят телевизоры ... вай фая нет, гардероб есть, парковка условная... в общем и целом , все хорошо.', 4, 1511167806], ['Приятное место. Персонал отзывчивый. Очереди по сравнению с другими СПК не такие уж и большие, а если придти чуть раньше открытия, то вообще быстро пролетишь. Комфортные кресла.', 5, 1504265234], ['Впечатление двоякое: с одной стороны персонал не самый дружелюбный, нет парковочных мест, ремонт давно не проводился (в такой обстановке сдавать кровь далеко не всем комфортно), но с другой стороны меня здесь врач в первый раз при осмотре не допустила к сдаче крови, потому что заметила шумы в сердце, что помогло вовремя купировать заболевание.', 4, 1512664591], ['Очень внимательно смотрят, тащите все справки какие можете. Давали отводы за косой взгляд.', 4, 1518427692]];7805638.0;653121.0;2.0;0.9772727272727272;0.7662337662337663;1796.7142857142858;49.0;государственное  учреждение  здравоохранения «Свердловская областная станция переливания крови»;0.04081632653061224;0.0;1.0;0.0;0.42857142857142855;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;14.0;0.18027210884353742
Деко Компания ООО;1.0;;0.0;0.3333333333333333;0.6666666666666666;1.0;66.0;0.26666666666666666;1;3.0;55.8605289;37.6548278;ChIJI3pnC8A2tUYRELgrYngPJCg;КОМПАНИЯ ДЕКО;0.0;http://www.dekopharm.ru/;[['', 5, 1329807197]];6514051.0;516224.0;142.0;0.923076923076923;0.4858160358160359;1826.459090909091;72.0;"Общество с ограниченной ответственностью ""Компания ""Деко""";0.013888888888888888;0.0;1.0;0.0;0.6;0.0;0.15;0.25;0.0;0.0;0.0;0.0;0.0;0.025;0.275;0.0;0.05;0.0;0.0;0.0;0.0;0.0;0.075;0.0;0.075;0.0;0.0;0.0;0.025;0.05;0.175;0.0;0.025;0.075;0.15;0.0;0.0;0.0;40.0;0.09351851851851851
Березовский фармзавод ЗАО;0.0;;0.0;0.0;1.0;1.0;118.0;0.2;1;41.0;55.72749399999999;37.44964909999999;ChIJI4yfn75OtUYRGG4VQOaQWXs;"Фармацевтический завод ""Эгис""";;http://www.egis.ru/;[];1986720.0;177357.0;88.0;0.9898346435348332;0.8645673760877194;1812.2535014005607;260.0;Эгис Фармацевтический завод ОАО [Будапешт, Керестури];0.0038461538461538464;1.0;0.0;0.0;0.25;0.0;0.2916666666666667;0.4583333333333333;0.0;0.02083333333333333;0.0;0.02083333333333333;0.0;0.04166666666666666;0.02083333333333333;0.0;0.02083333333333333;0.0;0.0;0.0;0.0;0.0;0.3541666666666667;0.0;0.02083333333333333;0.0;0.0;0.0;0.0;0.04166666666666666;0.04166666666666666;0.0;0.0;0.0;0.0;0.22916666666666666;0.04166666666666666;0.16666666666666666;48.0;0.2346153846153846
Партнер АО;0.0;;0.0;0.0;1.0;0.0;;0.2;1;2.0;55.65365210000001;37.5946381;ChIJITU6Ti-zSkEREcJQfX75OXU;ПАРТНЕР;;http://www.partner.com.ru/;[];11255045.0;;34.0;1.0;0.5277777777777778;1826.305555555556;30.0;Партнер ЗАО;0.03333333333333333;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.24444444444444444
ЭкоФармИнвест ООО/пр.Фермент Фирма ООО;0.0;Проблема в описании.;7.0;0.0;1.0;0.0;;1.0;1;1.0;55.7130613;37.688721;ChIJIxJ6_9a0SkER5Oehq-81Kg8;Экофарминвест;0.0;http://www.ephi.ru/;[['', 5, 1493049098]];;;;1.0;1.0;;13.0;"ООО ""ЭкоФармИнвест""";0.07692307692307693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.358974358974359
НИИ им.Чумакова РАМН;0.0;;0.0;0.0;1.0;0.0;;0.2;1;1.0;55.60247170000001;37.3358751;ChIJIzMveudTtUYRVc59aRu00Rk;Научный центр исследований и разработки иммунобиологических препаратов имени М.П. Чумакова;0.1;http://www.chumakovs.ru/;[['Крутой', 5, 1518856570], ['Тут самая интересная работа в моей жизни.', 5, 1507785380], ['Не удобно добираться своим пешком из Града Московского', 5, 1514071020], ['Беда с туалетом,их там нет((((', 3, 1512736033], ['Я здесь живу, и нам здесь хорошо.', 5, 1502683647]];9142173.0;;23.0;1.0;0.6228571428571429;1826.0;17.0;Федеральное государственное унитарное предприятие «Предприятие по производству бактерийных и вирусных препаратов Института полиомиелита и вирусных энцефалитов им. М.П. Чумакова РАМН (ФГУП «ПИПВЭ им. М.П. Чумакова ФГУП РАМН»);0.058823529411764705;0.0;1.0;0.0;0.3333333333333333;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;3.0;0.11960784313725492
Авексима ОАО/пр.Ирбитский ХФЗ ОАО;0.0;;0.0;1.0;0.0;0.0;;1.0;1;1.0;55.78364000000001;37.5600171;ChIJJ6kwNYxJtUYRzA_kvmsKLi0;ОАО «Авексима»;;http://avexima.ru/;[];3687492.0;286544.0;29.0;0.990909090909091;0.9411764705882352;1848.958333333333;285.0;"Открытое акционерное общество ""Авексима"" (ОАО ""Авексима"")";0.0035087719298245615;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.008064516129032258;0.0;0.024193548387096774;0.0;0.04032258064516129;0.27419354838709675;0.0;0.024193548387096774;0.0;0.0;0.0;0.0;0.0;0.12096774193548387;0.0;0.08064516129032258;0.0;0.0;0.0;0.0;0.2258064516129032;0.20967741935483872;0.0;0.0;0.0;0.0;0.0;0.0;0.0;124.0;0.5011695906432748
Гиппократ ООО;-1.0;;0.0;0.5833333333333334;0.4166666666666667;0.3333333333333333;78.0;0.9;5;12.0;55.78129200000001;37.5767299;ChIJJ8OtDSBKtUYR1vvor6hLTaE;"""Гиппократ""";;;[];;;;0.9375;0.8843085106382979;1461.2;63.0;"ООО ""Гиппократ""";0.07936507936507936;0.0;1.0;0.0;0.7621951219512195;0.024390243902439025;0.0;0.21341463414634146;0.0;0.11585365853658534;0.0;0.03658536585365853;0.0;0.24390243902439024;0.11585365853658534;0.0;0.15853658536585366;0.0;0.0;0.0;0.0;0.0;0.06707317073170732;0.0;0.018292682926829267;0.0;0.0;0.0;0.04878048780487805;0.06707317073170732;0.04878048780487805;0.0;0.006097560975609756;0.0;0.012195121951219513;0.03048780487804878;0.0;0.14634146341463414;164.0;0.49312169312169307
Мерц Фарма ГмбХ и Ко.КГаА;0.0;;0.0;1.0;0.0;0.0;;1.0;1;1.0;55.78200699999999;37.582325;ChIJJS3Lnh9KtUYRbkYHY9LYO1M;Мерц Фарма;;http://www.merz.ru/;[];1258264.0;125109.0;134.0;1.0;0.7740384615384616;1826.5;21.0;"ООО ""Мерц Фарма""";0.047619047619047616;1.0;0.0;0.0;0.9117647058823528;0.0;0.08823529411764706;0.0;0.0;0.14705882352941174;0.0;0.0;0.0;0.2352941176470588;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.29411764705882354;0.14705882352941174;0.0;0.0;0.14705882352941174;0.0;0.0;0.0;0.17647058823529413;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.0;0.5158730158730159
Домпе Фармачеутичи С.п.А;0.0;;0.0;1.0;0.0;0.0;;1.0;1;7.0;55.7180358;37.66790820000001;ChIJN2Q4iytLtUYRLm6Rf4FVeMk;Столица-Медикл;0.0;http://old.smed.ru/;[['', 5, 1456161262]];187451.0;17513.0;447.0;1.0;1.0;;25.0;Миракл Фарма Груп Лтд;0.04;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.4444444444444444;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;0.3466666666666667
Джодас Экспоим ООО/пр.Джодас Экспоим Пвт.Лтд;0.0;;0.0;0.0;1.0;0.0;;0.2;1;2.0;55.652392000000006;37.723875;ChIJN5oxUnW0SkERWYpJ7qGYp-w;Джодас Экспоим;;http://www.jodas.ru/;[];4058712.0;264539.0;7.0;0.8333333333333334;0.4804161566707467;1710.0024038461538;88.0;"Общество с ограниченной ответственностью ""Джодас Экспоим""";0.011363636363636364;0.9666666666666668;0.03333333333333333;0.0;0.9444444444444444;0.0;0.05555555555555555;0.0;0.0;0.04444444444444445;0.0;0.0;0.0;0.011111111111111113;0.022222222222222227;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3111111111111111;0.0;0.011111111111111113;0.0;0.0;0.0;0.04444444444444445;0.05555555555555555;0.4888888888888889;0.0;0.0;0.05555555555555555;0.0;0.0;0.0;0.0;90.0;0.2371212121212121
Вифитех ЗАО;-1.0;;0.0;0.8181818181818182;0.18181818181818182;0.0;;0.9757575757575758;4;33.0;55.54576289999999;37.5545701;ChIJN5t4CjesSkERQ1DK79U7f40;Вифитех;0.0;http://vifiteh.ru/;[['', 5, 1508799855]];4311185.0;587610.0;15.0;0.8855721393034827;0.6821856625961104;1826.2373015873013;217.0;"Закрытое акционерное общество ""ВИФИТЕХ"" (ЗАО ""ВИФИТЕХ"")";0.018433179723502304;0.0;1.0;0.0;0.8972162740899358;0.0;0.08993576017130621;0.01284796573875803;0.0;0.004282655246252678;0.0;0.002141327623126339;0.0;0.43897216274089934;0.05139186295503212;0.0;0.006423982869379015;0.01284796573875803;0.0;0.0;0.0;0.0;0.12633832976445394;0.004282655246252678;0.059957173447537475;0.0;0.11991434689507495;0.0;0.010706638115631693;0.07708779443254818;0.0835117773019272;0.0;0.002141327623126339;0.004282655246252678;0.0;0.0;0.0;0.0;467.0;0.33139691849369274
Вектор-Медика ЗАО  (Новосибирск.обл);0.0;;0.0;1.0;0.0;0.0;;1.0;1;2.0;55.63951899999999;37.525041;ChIJO2VluUhNtUYRJ3MX1U_JXsI;Вектор-Медика;;http://lipint.ru;[];16332107.0;1164341.0;15.0;1.0;0.7045454545454546;1826.625;32.0;"Закрытое акционерное общество ""Вектор-Медика"" (ЗАО ""Вектор-Медика"")";0.03125;0.0;1.0;0.0;0.8;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.5104166666666666
АстраЗенека АБ/уп.АстраЗенека Индастриз ООО;0.0;;0.0;1.0;0.0;0.0;;0.4;3;3.0;55.776121;37.553687;ChIJOSu734VJtUYRhdkOc2ECKrw;Астразенека;0.15999999999999998;http://www.astrazeneca.ru/;"[['Отличный офис ""AstraZeneca"" - БЦ ""Nordstar Tower""', 5, 1497875672], ['Company AstraZeneca not yet participated at the Conference Pharmacosmos in Moscow 2016-2017 ?', 5, 1473421995], ['', 1, 1513609139], ['', 5, 1507020666], ['', 5, 1493729121]]";2490264.0;219718.0;171.0;0.9897959183673468;0.8673469387755102;1826.2307692307693;50.0;АстраЗенека ЮК Лимитед;0.06;1.0;0.0;0.5106382978723404;0.06382978723404255;0.0;0.0425531914893617;0.2978723404255319;0.0851063829787234;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6170212765957447;0.0;0.0;0.14893617021276595;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10638297872340426;0.0;0.0;0.0425531914893617;0.0;0.0425531914893617;0.0;0.0425531914893617;47.0;0.2066666666666667
Эльфа НПЦ АО/пр.Эльфа Лабораториз;1.0;;0.0;0.5;0.5;0.0;;1.0;2;16.0;55.7148983;37.6963579;ChIJPwXWEyi1SkERq8Hod9dusM4;ЭЛЬФА, научно-производственный центр;;https://elfa.ru/o-kompanii/;[];7278901.0;773271.0;10.0;0.9;0.40595238095238106;1826.446666666667;52.0;Эльфа НПЦ ЗАО;0.038461538461538464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5128205128205129
Ипка Лабораториз Лимитед;0.0;Маркировка.;4.0;1.0;0.0;0.0;;1.0;1;1.0;55.659759;37.50846799999999;ChIJPzmvuxFNtUYRwUxtOrG8CWU;ИПКА Лабораториз Лимитед, представительсто в г. Москве;;;[];;;;0.9718832891246684;0.7387267904509285;1826.4;96.0;Представительство Ипка Лабораториз Лимитед;0.010416666666666666;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.01818181818181818;0.0;0.01818181818181818;0.0;0.509090909090909;0.34545454545454546;0.0;0.01818181818181818;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10909090909090907;0.0;0.0;0.0;0.0;0.0;0.0;0.0;55.0;0.5034722222222222
Биохимик ПАО;0.0;Упаковка.;4.0;1.0;0.0;0.0;;1.0;1;2.0;55.77651660000001;37.6306509;ChIJQ0xuCHJKtUYR0JugUbCORF0;Промомед;;http://promo-med.ru/;[];9938904.0;;33.0;1.0;0.8645622677383112;1826.242424242424;224.0;"Общество с ограниченной ответственностью ""Промомед Холдингс (Сайпрус) Лимитед""";0.004464285714285714;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5014880952380952
Оболенское ФП АО;0.0;;0.0;0.24675324675324675;0.7532467532467533;0.19480519480519481;5.0;0.3974025974025974;3;77.0;55.719404;37.611614;ChIJQ4S7OhE1tUYRsayopXzdjU4;Оболенское, фармацевтическая компания;;http://obolensk.ru/;[];1686189.0;155537.0;54.0;0.960968034617532;0.6458510151089897;1811.9074879739674;335.0;Оболенское - фармацевтическое предприятие ЗАО;0.008955223880597015;0.0;1.0;0.0;0.1907514450867052;0.0;0.13872832369942195;0.0;0.6705202312138728;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1213872832369942;0.02890173410404624;0.04046242774566474;0.0;0.0;0.0;0.0;0.011560693641618495;0.791907514450867;0.0;0.005780346820809247;0.0;0.0;0.0;0.0;0.0;173.0;0.3021192737610648
Пранафарм ООО;1.0;;0.0;0.42857142857142855;0.5714285714285714;0.0;;0.8;6;7.0;55.9149141;37.8207083;ChIJQYUyxRoytUYRqAFjjZsf-5E;Аптека 385;0.1;http://www.apteka385.ru/;[['Хорошая аптека, очень внимательные фармацевты. Дают очень хорошую консультацию даже по телефону.', 5, 1514549924], ['Отличные цены, квалифицированные фармацевты.', 5, 1487532460], ['Разумные цены', 4, 1479725474], ['', 4, 1512810168]];;;;0.6041666666666666;0.4861111111111111;1723.0;26.0;Ципла Лимитед;0.23076923076923078;0.2307692307692308;0.7692307692307693;0.0;1.0;0.0;0.0;0.0;0.0;0.038461538461538464;0.0;0.0;0.0;0.038461538461538464;0.038461538461538464;0.0;0.038461538461538464;0.0;0.0;0.0;0.0;0.0;0.2307692307692308;0.038461538461538464;0.038461538461538464;0.0;0.0;0.0;0.1153846153846154;0.15384615384615385;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.0;0.3769230769230769
Роттафарм С.п.А.;0.0;;0.0;0.0;1.0;0.0;;0.4;1;1.0;55.63680609999999;37.5100389;ChIJQf5hJFtNtUYRRRt5ETR73jo;ROTTA PHARMA, фармацевтическая компания;;http://www.dona.rotta.ru/;[];;;;1.0;0.8333333333333333;1826.0;8.0;Роттафарм С.п.А.;0.125;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.3416666666666666
